Username,Comment
@sakibkhan-zv3fs,Joker
@user-tv2fg5mk5w,Is it true??
@user-pf3xc3pt7o,Old video
@FirozKhan-wn5uz,SΔLΣ HΔRΔM ҜHΩR TUMHΔRΔ βΣDΔ GΔRG HΩ
@mohdtahir468,Mobarak ho pakistaniyon
@younes56ahm,Pm ❌ choor✅
@AzharKhan-ww4ly,🤣🤣🙊🙊🙈🙈
@akbarmoters9030,It is the shame for the people of Pakistan that A fool will be there prime minister.
@fahadaqdas8824,Allah ka faisla zaroor hoga Inshallah the real noble innocent peaceful legend respectable Prime Minister of Imran Khan of noble Pakistan aur galat karne walo ke saath Allah ki pakar zaroor hogi Inshallah aur Allah kea yahan Qayamat kea din faisla hoga
@fahadaqdas8824,Allah ka faisla hoga zaroor Inshallah the real noble innocent peaceful legend respectable Prime Minister of Imran Khan of noble Pakistan aur galat karne walo ko Allah ki  pakar hogi zaroor Inshallah aur Allah kea pass faisla hoga  Qayamat mea
@user-fp5bd3jm9o,Army dollar amount
@fahadaqdas8824,Allah ka faisla hoga zaroor Inshallah the real noble innocent peaceful legend Prime Minister of Imran Khan of noble Pakistan
@Rinsyy,We can say that the country is now absolutely fuked
@SalmanKhattak-wt6tp,Only khan 🎉🎉
@SalmanKhattak-wt6tp,"Shahbaz sharif ❌
Showbaz sharif ✅


Election ❌
Selection ✅"
@YogiTD,"Leave Islam, live happy"
@abidarajput4380,Shahbaz shrief mentally not well.He is a ridiculous man Joker 🃏 Pakistani army selected. Shahbaz shrief didn't elected by Pakistani people.
@user-go4nh2gz4x,Shehbaz Nick name Shoe ) polish Is selected As BIg Thief of Pakistan 🇵🇰❌❌ Cruel Criminal PM he is By Gernals ❌ By Cruel Cheap Justice Qazi Duffer and By duffer election commission and by Duffer punjab police...these are mostly thief and Cruel 😢😢
@serial2663,wonderful news
@user-go4nh2gz4x,He is not the pm of Pakistan 🇵🇰 he is a Big Thief of Pakistan 🇵🇰😢😢He is cruel 😢😢😢
@Alfalah.Online.quran.Tilawat,Maolana fazlur Rahman is great man in Pakistan news 🗞️
@user-ty5eh8ey1f,it is not our prime minister one and only Imran Khan our prime minister 😢😢
@mudassirhussain477,Mrs begger
@user-ep4wo6vq4d,Sallmuindarrdyalkrtusharmmaprimnistarrdumulaglshpodii
@glncstv4010,Only imran khan zindabad❤❤❤❤❤
@hasanreyal,Chor. Chor chor.. Amirican supported
@jawahar7493,😂😂  Even Pakistan serial story is better than the real status of Pakistan country 😂😂
@unitepak,Congratulations to Shahbaz Shareef Sahb for becoming Prime Minister of Pakistan ❤❤❤
@Anu_Fathima,😂😂😂
@ahmedijaz6361,Big thief
@bubacarrsanneh1647,😢😢😢😢😢
@rajoshreegoswami3830,Ye 2 din pehle koi aurat ko banaya tha naa PM 😂😂😂
@pubguc6771,In Pakistan balochistan subject baloch people missing person killing torrisum policy in balochistan entry army for what is subject?
@pubguc6771,Pakistan govt and army for craption use root of for policy Afghanistan subject what is from Pakistan support USA
@neil7763,new beggar has been elected for bhikaristan😂
@Khanbhai-fz2xi,Imran khan zandabad pti
@nirmalbadri1234,Pakistan military is putting this poor man again and again in trouble 😢😢😢😢😢😢😢
@sandeepchauhan5271,Welcome “MrBeggars”can’t be choosers 😂😂😂😂😂
@munawarkhan2414,Prim minister of Pakistan shahbaz sharif and Nawaz sharif zindabad insha Allah❤❤❤❤❤❤❤❤❤❤❤❤
@hgfku-tn6hb,This has got nothing to do with elections. It's appointment
@user-op8vs8qb4q,Crime Minister 😂of Pork-istan.
@chaliraza6260,Choor. Choor. Begrt leader.
@aliyanamir6957,Cropted mafias thef PM 😂
@ayushtarey7446,Isse accha toh chunav naa krwa ke thode pese hi bacha lete😂😂😂
@user-tp2tm6fy9i,Bakra 😂😂😂😂
@finologylegal6117,Congratulations na-pakisthan 🎉🎉
